ballnumber,inningno,over,outcome,batter,bowler,comment
69,1,11.2,0,rius,Dwaine Pre,"Dwaine Pretorius to Tim David, no run,"
70,1,11.3,1,rius,Dwaine Pre,"Dwaine Pretorius to Tim David, 1 run,"
71,1,11.4,1wd,rius,Dwaine Pre,"Dwaine Pretorius to Tilak Varma, 1 wide,"
72,1,11.4,0,rius,Dwaine Pre,"Dwaine Pretorius to Tilak Varma, no run,"
73,1,11.5,1wd,rius,Dwaine Pre,"Dwaine Pretorius to Tilak Varma, 1 wide,"
74,1,11.5,1,rius,Dwaine Pre,"Dwaine Pretorius to Tilak Varma, 1 run,"
75,1,11.6,1,rius,Dwaine Pre,"Dwaine Pretorius to Tim David, 1 run,"
76,1,12.1,1,Tim David,Ravindra Jadeja,"Ravindra Jadeja to Tim David, 1 run,"
77,1,12.2,1,Tilak Varma,Ravindra Jadeja,"Ravindra Jadeja to Tilak Varma, 1 run,"
78,1,12.3,1,Tim David,Ravindra Jadeja,"Ravindra Jadeja to Tim David, 1 run,"
79,1,12.4,0,Tilak Varma,Ravindra Jadeja,"Ravindra Jadeja to Tilak Varma, no run,"
80,1,12.5,6,Tilak Varma,Ravindra Jadeja,"Ravindra Jadeja to Tilak Varma, Six,"
81,1,12.6,w,Tilak Varma,Ravindra Jadeja,"Ravindra Jadeja to Tilak Varma, no run,                           Wicket - lbw b RA Jadeja batsmen out 22(18)"
82,1,13.1,1,rius,Dwaine Pre,"Dwaine Pretorius to Tim David, 1 run,"
83,1,13.2,1,rius,Dwaine Pre,"Dwaine Pretorius to Tristan Stubbs, 1 run,"
