ballnumber,inningno,over,outcome,batter,bowler,comment
98,1,15.3,1,Shimron Hetmyer,Maheesh Theekshana,"Maheesh Theekshana to Shimron Hetmyer, 1 run,"
99,1,15.4,1,Jos Buttler,Maheesh Theekshana,"Maheesh Theekshana to Jos Buttler, 1 run,"
100,1,15.5,0,Shimron Hetmyer,Maheesh Theekshana,"Maheesh Theekshana to Shimron Hetmyer, no run,"
101,1,15.6,1,Shimron Hetmyer,Maheesh Theekshana,"Maheesh Theekshana to Shimron Hetmyer, 1 run,"
102,1,16.1,1,Shimron Hetmyer,Moeen Ali,"Moeen Ali to Shimron Hetmyer, 1 run,"
103,1,16.2,w,Jos Buttler,Moeen Ali,"Moeen Ali to Jos Buttler, no run,                           Wicket - b Moeen Ali batsmen out 52(36)"
104,1,16.3,0,Dhruv Jurel,Moeen Ali,"Moeen Ali to Dhruv Jurel, no run,"
105,1,16.4,1,Dhruv Jurel,Moeen Ali,"Moeen Ali to Dhruv Jurel, 1 run,"
106,1,16.5,0,Shimron Hetmyer,Moeen Ali,"Moeen Ali to Shimron Hetmyer, no run,"
107,1,16.6,1,Shimron Hetmyer,Moeen Ali,"Moeen Ali to Shimron Hetmyer, 1 run,"
108,1,17.1,0,Shimron Hetmyer,Tushar Deshpande,"Tushar Deshpande to Shimron Hetmyer, no run,"
109,1,17.2,1,Shimron Hetmyer,Tushar Deshpande,"Tushar Deshpande to Shimron Hetmyer, 1 run,"
110,1,17.3,1,Dhruv Jurel,Tushar Deshpande,"Tushar Deshpande to Dhruv Jurel, 1 run,"
111,1,17.4,0,Shimron Hetmyer,Tushar Deshpande,"Tushar Deshpande to Shimron Hetmyer, no run,"
112,1,17.5,6,Shimron Hetmyer,Tushar Deshpande,"Tushar Deshpande to Shimron Hetmyer, Six,"
113,1,17.6,1wd,Shimron Hetmyer,Tushar Deshpande,"Tushar Deshpande to Shimron Hetmyer, 1 wide,"
114,1,17.6,4,Shimron Hetmyer,Tushar Deshpande,"Tushar Deshpande to Shimron Hetmyer, Four,"
115,1,18.1,1,Dhruv Jurel,Akash Singh,"Akash Singh to Dhruv Jurel, 1 run,"
116,1,18.2,1,Shimron Hetmyer,Akash Singh,"Akash Singh to Shimron Hetmyer, 1 run,"
117,1,18.3,1,Dhruv Jurel,Akash Singh,"Akash Singh to Dhruv Jurel, 1 run,"
118,1,18.4,6,Shimron Hetmyer,Akash Singh,"Akash Singh to Shimron Hetmyer, Six,"
119,1,18.5,1,Shimron Hetmyer,Akash Singh,"Akash Singh to Shimron Hetmyer, 1 run,"
120,1,18.6,w,Dhruv Jurel,Akash Singh,"Akash Singh to Dhruv Jurel, no run,                           Wicket - c S Dube b Akash Singh batsmen out 4(6)"
121,1,19.1,4,Shimron Hetmyer,Tushar Deshpande,"Tushar Deshpande to Shimron Hetmyer, Four,"
122,1,19.2,2,Shimron Hetmyer,Tushar Deshpande,"Tushar Deshpande to Shimron Hetmyer, 2 runs,"
123,1,19.3,0,Shimron Hetmyer,Tushar Deshpande,"Tushar Deshpande to Shimron Hetmyer, no run,"
124,1,19.4,1,Shimron Hetmyer,Tushar Deshpande,"Tushar Deshpande to Shimron Hetmyer, 1 run,"
125,1,19.5,w,Jason Holder,Tushar Deshpande,"Tushar Deshpande to Jason Holder, no run,                           Wicket - c Devon Conway b TU Deshpande batsmen out 0(1)"
126,1,19.6,w,Adam Zampa,Tushar Deshpande,"Tushar Deshpande to Adam Zampa, 1 run,                           Wicket - runout (MS Dhoni / M Theekshana) batsmen out 1(1)"
